"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,7926651000000.0,25619585000000.0,33745470000000.0,12288439000000.0,10581787000000.0,25598609000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,6842993000000.0,22213605000000.0,28802437000000.0,9881450000000.0,8962110000000.0,21308077000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,1083658000000.0,3405980000000.0,4943033000000.0,2406989000000.0,1619677000000.0,4290532000000.0
dart_OtherOperatingIncome,기타영업수익,Other operating income,ifrs-full:IncomeStatementAbstract,기타영업수익,,,1480020000000.0,676874000000.0,,,0.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와 관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와 관리비,,3388836000000.0,4310613000000.0,3456673000000.0,2725903000000.0,2296187000000.0,3076813000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,-2305178000000.0,575387000000.0,2163234000000.0,-318914000000.0,-676510000000.0,1213719000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,811933000000.0,1048343000000.0,984984000000.0,615296000000.0,350059000000.0,385537000000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:IncomeStatementAbstract,금융비용,,902154000000.0,1260579000000.0,857201000000.0,575148000000.0,294184000000.0,519021000000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법손익,,,-49118000000.0,-32450000000.0,,,-36641000000.0
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:IncomeStatementAbstract,기타영업외수익,,1653179000000.0,858811000000.0,1125846000000.0,729536000000.0,537713000000.0,1349485000000.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:IncomeStatementAbstract,기타영업외비용,,333487000000.0,823973000000.0,1340953000000.0,424544000000.0,600393000000.0,1397765000000.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익(손실),,-1075707000000.0,348871000000.0,2043460000000.0,26226000000.0,-683315000000.0,995314000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income Tax Expense(Income),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,-138064000000.0,10269000000.0,405475000000.0,91915000000.0,-155188000000.0,215488000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실),,-937643000000.0,338602000000.0,1637985000000.0,-65689000000.0,-528127000000.0,779826000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주지분,,-1018741000000.0,1237180000000.0,,,767236000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,,1357343000000.0,400805000000.0,,,12590000000.0
ifrs-full_BasicEarningsLossPerShare,보통주 기본 및 희석주당손실,Basic loss per share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익(손실),보통주 기본 및 희석주당손실,-4007.0,-4354.0,5287.0,-281.0,-2276.0,3306.0
