"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,10503609086034.0,9397321226320.0,10523987597351.0,11647800864690.0,9318914840012.0,10419213132139.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,9576062675052.0,8816284730034.0,9621185397799.0,10436072414834.0,8423509587618.0,9165519754856.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,927546410982.0,581036496286.0,902802199552.0,1211728449856.0,895405252394.0,1253693377283.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,524420797101.0,471382971791.0,516408886140.0,549210897240.0,462002324061.0,493686862641.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:IncomeStatementAbstract,영업이익(손실),,403125613881.0,109653524495.0,386393313412.0,662517552616.0,433402928333.0,760006514642.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,관계기업투자당기손익지분,Share of gain (loss) of associates,ifrs-full:IncomeStatementAbstract,관계기업투자당기손익지분,,151108728.0,,,-8529286694.0,,4187879107.0
dart_OtherGains,기타수익,Other income,ifrs-full:IncomeStatementAbstract,기타수익,,840513737301.0,663059970677.0,359044980331.0,659503202356.0,310214467187.0,342793852190.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,828690032893.0,591985736731.0,369121893169.0,554475284586.0,371273483459.0,390864860131.0
ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:IncomeStatementAbstract,금융수익,,103557826305.0,75835172067.0,99569780073.0,136443152451.0,64376415903.0,77809574677.0
ifrs-full_FinanceCosts,금융원가,Financial costs,ifrs-full:IncomeStatementAbstract,금융원가,,160163190802.0,147282054000.0,140818787576.0,150492711263.0,71858683014.0,80435371839.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익(손실),,358495062520.0,109280876508.0,335067393071.0,744966624880.0,364861644950.0,713497588646.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,ifrs-full:IncomeStatementAbstract,법인세비용,,115645327161.0,-7647684481.0,80080432547.0,223487475119.0,110120402212.0,205487349692.0
ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:IncomeStatementAbstract,당기순이익,,242849735359.0,116928560989.0,254986960524.0,521479149761.0,254741242738.0,508010238954.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,Owners of the Parent Company,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주지분,234094221827.0,,,511710239669.0,,504006912863.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Non-controlling interest,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,8755513532.0,,,9768910092.0,,4003326091.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,기본주당이익(손실),570.0,285.0,621.0,1245.0,620.0,1227.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,지배기업의 소유주지분에 대한 주당이익,희석주당이익(손실),569.0,284.0,620.0,1244.0,619.0,1225.0
