"('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:IncomeStatementAbstract,영업수익,,18132874000000.0,1066495000000.0,943770000000.0,19130130000000.0,16995760000000.0,1026237000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,15170732000000.0,984884000000.0,922885000000.0,15885061000000.0,14157713000000.0,958338000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,2962142000000.0,,,3245069000000.0,2838047000000.0,
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,1958383000000.0,222190000000.0,218682000000.0,1808807000000.0,1712018000000.0,210447000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,1003759000000.0,81611000000.0,20885000000.0,1436262000000.0,1126029000000.0,67899000000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,1330184000000.0,104464000000.0,32034000000.0,663565000000.0,808126000000.0,72641000000.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:IncomeStatementAbstract,금융원가,,1546260000000.0,132050000000.0,102682000000.0,1064183000000.0,1379468000000.0,110968000000.0
dart_OtherGains,영업외수익,Other non-operating income,ifrs-full:IncomeStatementAbstract,영업외수익,,184347000000.0,,,84863000000.0,169239000000.0,
dart_OtherLosses,영업외비용,Other non-operating expenses,ifrs-full:IncomeStatementAbstract,영업외비용,,406927000000.0,,,627285000000.0,666590000000.0,
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법적용투자손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:IncomeStatementAbstract,지분법적용투자손익,,27851000000.0,,,-42248000000.0,-343240000000.0,
ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before income tax expenses,ifrs-full:IncomeStatementAbstract,법인세차감전순이익,,592954000000.0,39936000000.0,-163388000000.0,450974000000.0,-285904000000.0,196218000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expenses,ifrs-full:IncomeStatementAbstract,법인세비용,,290727000000.0,15784000000.0,-48766000000.0,178900000000.0,211332000000.0,24164000000.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:IncomeStatementAbstract,계속영업이익(손실),,302227000000.0,24152000000.0,-114622000000.0,272074000000.0,-497236000000.0,172054000000.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,ifrs-full:IncomeStatementAbstract,중단영업이익(손실),,,-910000000.0,2749000000.0,,-83933000000.0,3412000000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실),,302227000000.0,23242000000.0,-111873000000.0,272074000000.0,-581169000000.0,175466000000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),-226167000000.0,23242000000.0,-111873000000.0,-388278000000.0,-696399000000.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,Non-controlling interests Profit (loss),ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속 [개요],비지배지분순이익,528394000000.0,,,660352000000.0,115230000000.0,
ifrs-full_BasicEarningsLossPerShare,보통주기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주기본주당이익(손실),-12715.0,1296.0,-6295.0,-21823.0,-39132.0,9848.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,보통주기본주당계속영업이익(손실),Basic earnings (loss) per share from continuing operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주기본주당계속영업이익(손실),-12715.0,1349.0,-6457.0,-21823.0,-37159.0,9647.0
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,보통주기본주당중단영업이익(손실),Basic earnings (losses) per ordinary share from Discontinued Operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주기본주당중단영업이익(손실),,,,,-1973.0,
ifrs-full_DilutedEarningsLossPerShare,보통주희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주희석주당이익(손실),-12480.0,1272.0,-6295.0,-21823.0,-39132.0,9848.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,보통주희석주당계속영업이익(손실),Diluted earnings (loss) per share from continuing operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주희석주당계속영업이익(손실),-12480.0,1324.0,-6457.0,-21823.0,-37159.0,9647.0
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,보통주희석주당중단영업이익(손실),Diluted earnings (losses) per ordinary share from Discontinued Operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],보통주희석주당중단영업이익(손실),,,,,-1973.0,
dart_BasicEarningsLossPerSharePreferredStock,구형우선주기본주당이익(손실),Basic earnings (loss) per share - preferred stock,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주기본주당이익(손실),-12665.0,1346.0,-6245.0,-21773.0,-39082.0,9898.0
dart_BasicEarningsLossPerSharePreferredStockFromContinuingOperations,구형우선주기본주당계속영업이익(손실),Basic earnings (loss) per share - preferred stock from continuing operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주기본주당계속영업이익(손실),-12665.0,1401.0,-6406.0,-21773.0,-37112.0,9696.0
dart_BasicEarningsLossPerSharePreferredStockFromDiscontinuedOperations,구형우선주기본주당중단영업이익(손실),Diluted earnings (losses) per old-type preferred share,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주기본주당중단영업이익(손실),,,,,-1970.0,
dart_DilutedEarningsLossPerSharePreferredStock,구형우선주희석주당이익(손실),Diluted earnings (loss) per share - preferred stock,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주희석주당이익(손실),-12665.0,1346.0,-6245.0,-21773.0,-39082.0,9898.0
dart_DilutedEarningsLossPerSharePreferredStockFromContinuingOperations,구형우선주희석주당계속영업이익(손실),Diluted earnings (loss) per share - preferred stock from continuing operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주희석주당계속영업이익(손실),-12665.0,1401.0,-6406.0,-21773.0,-37112.0,9696.0
dart_DilutedEarningsLossPerSharePreferredStockFromDiscontinuedOperations,구형우선주희석주당중단영업이익(손실),Diluted earnings (losses) per old-type preferred share from Discontinued Operations,ifrs-full:IncomeStatementAbstract,주당이익 [개요],구형우선주희석주당중단영업이익(손실),,,,,-1970.0,
