"('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('연결재무제표',))","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))","('20220101-20221231', ('연결재무제표',))"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,2709774106588.0,2636975532925.0,1838445665302.0,1910576180288.0,1767775810654.0,1854016090527.0
ifrs-full_OperatingExpense,영업비용,Operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업비용,,,1527286422400.0,1428400891477.0,1026825303150.0,1142530571318.0,1029953897568.0,1102409520985.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1182487684188.0,1208574641448.0,811620362152.0,768045608970.0,737821913086.0,751606569542.0
dart_OtherGains,기타수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,697082724456.0,741231564754.0,476347911780.0,482969841185.0,283725510181.0,282902545079.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,132089737653.0,161222727264.0,338025269310.0,406841506339.0,382138284941.0,341450256811.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,32533731218.0,22468092603.0,31133255793.0,37537872615.0,32993010552.0,33720933571.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,9457915752.0,6508249340.0,7005619582.0,8932004184.0,6148544145.0,7599150497.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-47878095739.0,,,-44164476701.0,,-35303720510.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,1722678390718.0,1804543322201.0,974070640833.0,828615335546.0,666253604733.0,683876920374.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,420085737006.0,428276446255.0,245993459551.0,234555021194.0,179110996806.0,168702205818.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업순이익,Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업순이익,,,1302592653712.0,,,594060314352.0,,515174714556.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업순손실,Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업순손실,,,0.0,,,0.0,,-15020682339.0
ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,1302592653712.0,1376266875946.0,728077181282.0,594060314352.0,487142607927.0,500154032217.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,73472954677.0,-34615862774.0,-20411036191.0,-1116677896.0,-41151615499.0,35557734585.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 되지 않는 항목:,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목:,,-34555100066.0,-34654678004.0,-20410011842.0,-20340279608.0,-41122681019.0,-38459889811.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 되는 항목:,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되는 항목:,,108028054743.0,38815230.0,-1024349.0,19223601712.0,-28934480.0,74017624396.0
ifrs-full_ComprehensiveIncome,당기총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기총포괄이익,,,1376065608389.0,1341651013172.0,707666145091.0,592943636456.0,445990992428.0,535711766802.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주에 귀속될 당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익의 귀속:,지배기업소유주에 귀속될 당기순이익,,1306089757323.0,,,595361538227.0,,500154033519.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순손익의 귀속:,비지배지분,,-3497103611.0,,,-1301223875.0,,-1302.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속:,지배기업 소유주지분,,1379587815646.0,,,594010006001.0,,535938196100.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속:,비지배지분,,-3522207257.0,,,-1066369545.0,,-226429298.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익,,28593.0,30129.0,15668.0,12812.0,10388.0,10666.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익,,28384.0,29909.0,15592.0,12750.0,10301.0,10576.0
